Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-09-19,,,,,,,
2016-09-20,,,,,,,
2016-09-21,,,,,,,
2016-09-22,,,,,,,
2016-09-23,,,,,,,
2016-09-26,,,,,,,
2016-09-27,,,,,,,
2016-09-28,,,,,,,
2016-09-29,,,,,,,
2016-09-30,,,,,,,
2016-10-03,,,,,,,
2016-10-04,,,,,,,
2016-10-05,,,,,,,
2016-10-06,,,,,,,
2016-10-07,,,,,,,
2016-10-10,,,,,,,
2016-10-11,,,,,,,
2016-10-12,,,,,,,
2016-10-13,,,,,,,
2016-10-14,,,,,,,
2016-10-17,,,,,,,
2016-10-18,,,,,,,
2016-10-19,,,,,,,
2016-10-20,,,,,,,
2016-10-21,,,,,,,
2016-10-24,,,,,,,
2016-10-25,,,,,,,
2016-10-26,,,,,,,
2016-10-27,,,,,,,
2016-10-28,,,,,,,
2016-10-31,,,,,,,
2016-11-01,,,,,,,
2016-11-02,,,,,,,
2016-11-03,,,,,,,
2016-11-04,,,,,,,
2016-11-07,,,,,,,
2016-11-08,,,,,,,
2016-11-09,,,,,,,
2016-11-10,71.8374835047422,72.36107420832546,70.18301073283757,70.54945407860062,12353750.83430979,0.0,0.012627902324436231
2016-11-11,70.41626936246703,71.05370204600948,69.80966280911032,70.64971061568762,6421251.610779708,0.0,0.0
2016-11-14,70.70399615932016,71.17610149588862,69.81460060517308,70.47959589737495,8849856.816062046,0.006928475046646675,0.0
2016-11-15,70.62109329231605,71.14600994963806,70.22591899936458,70.85047282694713,7305434.940175532,0.006817277798080816,0.0
2016-11-16,71.07436245335103,71.46976103442906,70.65798536471887,70.92813925066072,6508393.696643608,0.0,0.0
2016-11-17,70.39937230288244,70.7926829948864,69.70834376125889,70.4488481488821,9321152.073735371,0.0,0.0
2016-11-18,70.2954586776212,70.67793464399792,69.85360244791656,70.16257133402918,6988415.4023382515,0.0,0.0
2016-11-21,70.17390422488907,70.8288386751524,69.842299579155,70.59458664197768,5839386.725831154,0.010644794814765428,0.0
2016-11-22,70.88737556185136,71.4052856770445,70.63392956577376,71.11330980579174,6383392.146738902,0.0,0.0
2016-11-23,70.9968439427714,71.38818685448985,70.48084857373436,70.79273685274518,4872032.953853752,0.0,0.0
2016-11-25,71.02597856439597,71.61589126942943,70.90603101796445,71.26542471410026,3165179.17478921,0.0,0.0
2016-11-28,71.11117581078977,71.74970306035439,70.89194220067597,71.37612211658471,6208551.68592238,0.015411967663880262,0.0
2016-11-29,71.47882473022011,71.84143785288327,71.18290548584535,71.47475990715141,5063574.184156574,0.05383778223763221,0.0
2016-11-30,71.22243848248462,71.54198869294339,70.26968901863306,70.3744303092079,8382265.327317792,0.09468380900682022,0.0
2016-12-01,70.21654562240707,70.66951215346091,69.51971606251419,70.09673515845873,6954690.784389494,0.0,0.0
2016-12-02,70.2442431274454,70.78764530061302,70.01016674521941,70.47867774101312,5127611.916458882,0.0,0.0
2016-12-05,70.5203628312272,70.81583032121614,69.95936889171632,70.33841157941919,6719347.661583822,0.0,0.0
2016-12-06,70.45832066398589,70.80237694512775,70.02777951283629,70.57887931745374,5298118.675312834,0.0,0.0
2016-12-07,70.55979574201318,71.70423454533436,70.43659896733799,71.613858845535,5903276.551805157,0.13844929120441077,0.0
2016-12-08,71.63213921638012,72.32457860451021,71.35827995406925,71.70725650295215,5529195.741864238,0.0,0.0
2016-12-09,71.76552165413013,72.63876621769869,71.52563360022887,72.42016418997062,8165117.710689817,0.0,0.0
2016-12-12,72.34442684319092,73.29733430349916,72.16693990659441,72.98052584728863,6227892.220169213,0.0,0.0
2016-12-13,73.0457912369576,73.72770916956694,72.77445194496762,73.21741898218647,6747466.981584185,0.0,0.0
2016-12-14,73.34729379103275,73.72629330456063,72.29392434655912,72.529725438912,6649599.480964653,0.0,0.0
2016-12-15,72.44386769602609,73.24915873053278,72.15952594831896,72.7511497013939,5639093.000412507,0.00017973293562006154,0.0
